1,2,3,4,5,6,7,8,9,1
วันที่,จำนวนบิล,มูลค่า,คงเหลือ,จำนวนบิล,มูลค่า,ผลต่าง,SIGNATURE,หมายเหตุ,
27/8/2025, 17 ," 170,080 "," 170,080 ", 17 ," 170,080 ",  -   , เกษ,,
28/8/2025, 28 ," 135,270 "," 135,270 ", 28 ," 135,270 ",  -   ,เหน่ง,,
29/8/2025, 19 ," 113,650 "," 113,650 ", 19 ," 113,650 ",  -   ,เหน่ง,,
30/8/2025, 18 ," 122,350 "," 122,350 ", 18 ," 126,950 ","- 4,600 ",เกษ,"ผลต่าง 4,600 บาท บิลวันที่  29/8/68 STHBKK012508000481 ",
31/8/2025, 57 ," 224,920 "," 224,920 ", 57 ," 224,920 ",  -   ,เกษ,,
1/10/2025,12,45250,45250,12,45250,0,เกษ,,
2/10/2025,16,79100,79100,16,79100,0,เหน่ง,,
3/10/2025,25,88250,88250,25,88250,0,เกษ,,
4/10/2025,29,177440,177440,29,177440,0,เหน่ง,,
5/10/2025,25,164250,164250,25,164250,0,เกษ,,
6/10/2025,24,141330,141330,24,141330,0,เหน่ง,,
7/10/2025,17,69025,69025,17,69025,0,เกษ,,
8/10/2025,20,67525,67525,20,67525,0,เกษ,,
9/10/2025,17,59940,59940,17,59940,0,เกษ,,
10/10/2025,16,91445,91445,16,91445,0,เกษ,,
11/10/2025,8,65950,65950,8,65950,0,เหน่ง,,
12/10/2025,8,24850,24850,8,24850,0,เหน่ง,,
13/10/2025,,,,,,,,วันหยุดนักขัตฤกษ์ (วันนวมินทรมหาราช),
14/10/2025,19,103470,103470,19,103470,0,เกษ,,
15/10/2025,12,40800,40800,12,40800,0,เกษ,,
16/10/2025,11,44940,44940,11,44940,0,เกษ,,
17/10/2025,16,71490,71490,16,71490,0,เหน่ง,,
18/10/2025,19,92900,92900,19,92900,0,เหน่ง,,
19/10/2025,14,32620,32620,14,32620,0,เกษ,,
20/10/2025,17,57250,57250,17,57250,0,เกษ,,
21/10/2025,15,73200,73200,15,73200,0,เหน่ง,,
22/10/2025,10,44550,44550,10,44550,0,เหน่ง,,
23/10/2025,,,,,,,,วันหยุดนักขัตฤกษ์ (วันปิยมหาราช),
24/10/2025,15,53220,53220,15,53220,0,เหน่ง,,
25/10/2025,13,63850,63850,13,63850,0,เกษ,,
26/10/2025,4,46600,46600,4,46600,0,เกษ,,
27/10/2025,6,38825,38825,6,38825,0,เกษ,,
28/10/2025,19,76520,76520,19,76520,0,เหน่ง,,
29/10/2025,16,88120,88120,16,88120,0,เกษ,,
30/10/2025,12,59560,59560,12,59560,0,เกษ,,
31/10/2025,34,159250,159250,34,159250,0,เกษ,,
1/11/2025,13,"46,950","46,950",13,"46,950",0,เกษ,,
